Date,Inflation rate,Exchange rate,Immigration,House price index,GDP,Interest rate,Close,Unemployment
2006-07-09,2.73923076923077,0.78,24.91132075471698,123.56,3.8623076923076898,2.03846153846154,7597.97021484375,4.93307692307692
2006-07-16,2.74846153846154,0.78,25.13396226415094,124.12,3.81461538461538,2.07692307692308,7298.41015625,4.90615384615385
2006-07-23,2.75769230769231,0.78,25.356603773584904,124.68,3.76692307692308,2.11538461538462,7380.85009765625,4.8792307692307695
2006-07-30,2.76692307692308,0.78,25.579245283018867,125.24,3.71923076923077,2.15384615384615,7501.2900390625,4.85230769230769
2006-08-06,2.77615384615385,0.78,25.80188679245283,125.8,3.67153846153846,2.19230769230769,7719.0,4.82538461538462
2006-08-13,2.78538461538462,0.78,26.02452830188679,126.05,3.62384615384615,2.23076923076923,7595.56982421875,4.79846153846154
2006-08-20,2.79461538461538,0.78,26.247169811320752,126.3,3.57615384615385,2.26923076923077,7761.68994140625,4.77153846153846
2006-08-27,2.80384615384615,0.78,26.469811320754715,126.55,3.52846153846154,2.30769230769231,7873.83984375,4.74461538461538
2006-09-03,2.81307692307692,0.78,26.69245283018868,126.8,3.48076923076923,2.34615384615385,8092.06982421875,4.71769230769231
2006-09-10,2.82230769230769,0.78,26.91509433962264,127.0,3.43307692307692,2.38461538461538,7966.580078125,4.69076923076923
2006-09-17,2.83153846153846,0.78,27.137735849056604,127.2,3.38538461538462,2.42307692307692,8071.97998046875,4.66384615384615
2006-09-24,2.84076923076923,0.78,27.360377358490567,127.4,3.33769230769231,2.46153846153846,8140.66015625,4.63692307692308
2006-10-01,2.85,0.78,27.58301886792453,127.6,3.29,2.5,8223.83984375,4.61
2006-10-08,2.84642857142857,0.778571428571429,27.80566037735849,127.6,4.57642857142857,2.51785714285714,8275.240234375,4.62928571428571
2006-10-15,2.84285714285714,0.777142857142857,28.02830188679245,127.6,5.86285714285714,2.53571428571429,8460.8701171875,4.64857142857143
2006-10-22,2.83928571428571,0.775714285714286,28.25094339622641,127.6,7.14928571428571,2.55357142857143,8501.66015625,4.66785714285714
2006-10-29,2.83571428571429,0.774285714285714,28.47358490566037,127.6,8.43571428571429,2.57142857142857,8587.0498046875,4.68714285714286
2006-11-05,2.83214285714286,0.772857142857143,28.696226415094337,127.6,9.72214285714286,2.58928571428571,8544.150390625,4.70642857142857
2006-11-12,2.82857142857143,0.771428571428572,28.9188679245283,127.85,11.0085714285714,2.60714285714286,8684.98046875,4.72571428571429
2006-11-19,2.825,0.77,29.141509433962263,128.1,12.295,2.625,8808.759765625,4.745
2006-11-26,2.82142857142857,0.768571428571429,29.364150943396226,128.35,13.5814285714286,2.64285714285714,8872.7001953125,4.76428571428571
2006-12-03,2.81785714285714,0.767142857142857,29.58679245283019,128.6,14.8678571428571,2.66071428571429,8625.8095703125,4.78357142857143
2006-12-10,2.81428571428571,0.765714285714286,29.80943396226415,128.82,16.1542857142857,2.67857142857143,8917.150390625,4.80285714285714
2006-12-17,2.81071428571429,0.764285714285714,30.032075471698118,129.04,17.4407142857143,2.69642857142857,9222.2998046875,4.82214285714286
2006-12-24,2.80714285714286,0.762857142857143,30.254716981132077,129.26,18.7271428571429,2.71428571428571,9314.2197265625,4.84142857142857
2006-12-31,2.80357142857143,0.761428571428572,30.47735849056604,129.48,20.0135714285714,2.73214285714286,9408.1201171875,4.86071428571429
2007-01-07,2.8,0.76,30.7,129.7,21.3,2.75,9432.83984375,4.88
2007-01-14,2.77833333333333,0.758333333333333,30.567307692307693,129.85,19.1858333333333,2.77083333333333,9337.51953125,4.88916666666667
2007-01-21,2.75666666666667,0.756666666666667,30.434615384615384,130.0,17.0716666666667,2.79166666666667,9382.419921875,4.89833333333333
2007-01-28,2.735,0.755,30.301923076923075,130.15,14.9575,2.8125,9300.4296875,4.9075
2007-02-04,2.71333333333333,0.753333333333333,30.16923076923077,130.3,12.8433333333333,2.83333333333333,9490.3896484375,4.91666666666667
2007-02-11,2.69166666666667,0.751666666666667,30.036538461538463,130.35,10.7291666666667,2.85416666666667,9718.75,4.92583333333333
2007-02-18,2.67,0.75,29.903846153846157,130.4,8.615,2.875,9911.509765625,4.935
2007-02-25,2.64833333333333,0.748333333333333,29.771153846153844,130.45,6.50083333333333,2.89583333333333,9910.3603515625,4.94416666666667
2007-03-04,2.62666666666667,0.746666666666667,29.638461538461534,130.5,4.38666666666667,2.91666666666667,9256.08984375,4.95333333333333
2007-03-11,2.605,0.745,29.505769230769232,130.625,2.2725,2.9375,9567.919921875,4.9625
2007-03-18,2.58333333333333,0.743333333333333,29.373076923076923,130.75,0.158333333333335,2.95833333333333,9228.1103515625,4.97166666666667
2007-03-25,2.56166666666667,0.741666666666667,29.240384615384613,130.875,-1.95583333333333,2.97916666666667,9512.8603515625,4.98083333333333
2007-04-01,2.54,0.74,29.107692307692307,131.0,-4.07,3.0,9375.2998046875,4.99
2007-04-08,2.50769230769231,0.739230769230769,28.975,130.92,-4.45230769230769,3.0,9418.240234375,4.98153846153846
2007-04-15,2.47538461538462,0.738461538461539,28.84230769230769,130.84,-4.83461538461538,3.0,9600.8701171875,4.97307692307692
2007-04-22,2.44307692307692,0.737692307692308,28.709615384615383,130.76,-5.21692307692308,3.0,9703.6796875,4.96461538461539
2007-04-29,2.41076923076923,0.736923076923077,28.57692307692308,130.68,-5.59923076923077,3.0,9470.6201171875,4.95615384615385
2007-05-06,2.37846153846154,0.736153846153846,28.44423076923077,130.6,-5.98153846153846,3.0,9800.8603515625,4.94769230769231
2007-05-13,2.34615384615385,0.735384615384615,28.31153846153846,130.525,-6.36384615384615,3.0,9584.7197265625,4.93923076923077
2007-05-20,2.31384615384615,0.734615384615385,28.178846153846152,130.45,-6.74615384615385,3.0,9667.919921875,4.93076923076923
2007-05-27,2.28153846153846,0.733846153846154,28.04615384615385,130.375,-7.12846153846154,3.0,9914.41015625,4.92230769230769
2007-06-03,2.24923076923077,0.733076923076923,27.91346153846154,130.3,-7.51076923076923,3.0,9963.4404296875,4.91384615384615
2007-06-10,2.21692307692308,0.732307692307692,27.78076923076923,130.375,-7.89307692307692,3.0,9381.8203125,4.90538461538462
2007-06-17,2.18461538461539,0.731538461538462,27.64807692307692,130.45,-8.27538461538462,3.0,9659.6201171875,4.89692307692308
2007-06-24,2.15230769230769,0.730769230769231,27.515384615384612,130.525,-8.65769230769231,3.0,9395.830078125,4.88846153846154
2007-07-01,2.12,0.73,27.38269230769231,130.6,-9.04,3.0,9306.25,4.88
2007-07-08,2.10285714285714,0.727142857142857,27.25,130.56,-7.23285714285714,3.0,9451.16015625,4.90142857142857
2007-07-15,2.08571428571429,0.724285714285714,27.11730769230769,130.52,-5.42571428571429,3.0,9134.75,4.92285714285714
2007-07-22,2.06857142857143,0.721428571428571,26.984615384615385,130.48,-3.6185714285714305,3.0,9027.3095703125,4.94428571428571
2007-07-29,2.05142857142857,0.718571428571429,26.85192307692308,130.44,-1.81142857142857,3.0,8357.400390625,4.96571428571429
2007-08-05,2.03428571428571,0.715714285714286,26.71923076923077,130.4,-0.0042857142857126,3.0,8595.23046875,4.98714285714286
2007-08-12,2.01714285714286,0.712857142857143,26.58653846153846,130.4,1.80285714285714,3.0,8346.7197265625,5.00857142857143
2007-08-19,2.0,0.71,26.453846153846158,130.4,3.61,3.0,8106.47021484375,5.03
2007-08-26,1.98285714285714,0.707142857142857,26.321153846153848,130.4,5.41714285714286,3.0,8327.3896484375,5.05142857142857
2007-09-02,1.96571428571429,0.704285714285714,26.18846153846154,130.4,7.22428571428572,3.0,8400.9296875,5.07285714285714
2007-09-09,1.94857142857143,0.701428571428571,26.05576923076923,130.32,9.03142857142857,3.0,8188.27001953125,5.09428571428571
2007-09-16,1.93142857142857,0.698571428571429,25.923076923076923,130.24,10.8385714285714,3.0,7821.31982421875,5.11571428571429
2007-09-23,1.91428571428571,0.695714285714286,25.790384615384617,130.16,12.6457142857143,3.0,7869.35009765625,5.13714285714286
2007-09-30,1.89714285714286,0.692857142857143,25.657692307692308,130.08,14.4528571428571,3.0,7883.669921875,5.15857142857143
2007-10-07,1.88,0.69,25.525,130.0,16.26,3.0,8478.48046875,5.18
2007-10-14,1.88307692307692,0.688461538461539,25.392307692307693,130.0,14.1646153846154,3.0,8020.509765625,5.19384615384615
2007-10-21,1.88615384615385,0.686923076923077,25.259615384615387,130.0,12.0692307692308,3.0,7791.85986328125,5.20769230769231
2007-10-28,1.88923076923077,0.685384615384615,25.12692307692308,130.0,9.97384615384616,3.0,7862.14990234375,5.22153846153846
2007-11-04,1.89230769230769,0.683846153846154,24.994230769230768,130.0,7.87846153846154,3.0,7615.5400390625,5.23538461538462
2007-11-11,1.89538461538462,0.682307692307692,24.861538461538466,129.8,5.78307692307693,3.0,7128.68994140625,5.24923076923077
2007-11-18,1.89846153846154,0.680769230769231,24.72884615384616,129.6,3.68769230769231,3.0,6969.25,5.26307692307692
2007-11-25,1.90153846153846,0.679230769230769,24.596153846153847,129.4,1.59230769230769,3.0,6624.08984375,5.27692307692308
2007-12-02,1.90461538461538,0.677692307692308,24.463461538461537,129.2,-0.503076923076922,3.0,7207.0498046875,5.2907692307692304
2007-12-09,1.90769230769231,0.676153846153846,24.33076923076923,128.98,-2.59846153846154,3.0,7241.1201171875,5.30461538461539
2007-12-16,1.91076923076923,0.674615384615385,24.198076923076925,128.76,-4.693846153846151,3.0,7091.68017578125,5.31846153846154
2007-12-23,1.91384615384615,0.673076923076923,24.065384615384616,128.54,-6.78923076923077,3.0,6923.81982421875,5.33230769230769
2007-12-30,1.91692307692308,0.671538461538462,23.932692307692307,128.32,-8.88461538461538,3.0,6950.919921875,5.34615384615385
2008-01-06,1.92,0.67,23.8,128.1,-10.98,3.0,6977.1298828125,5.36
2008-01-13,1.93384615384615,0.667692307692308,23.784615384615385,127.825,-10.7484615384615,3.0,6660.83984375,5.40384615384615
2008-01-20,1.94769230769231,0.665384615384616,23.76923076923077,127.55,-10.5169230769231,3.0,6533.759765625,5.44769230769231
2008-01-27,1.96153846153846,0.663076923076923,23.753846153846155,127.275,-10.2853846153846,3.0,6760.7099609375,5.49153846153846
2008-02-03,1.97538461538462,0.660769230769231,23.73846153846154,127.0,-10.0538461538462,3.0,6839.919921875,5.53538461538462
2008-02-10,1.98923076923077,0.658461538461539,23.723076923076924,126.725,-9.82230769230769,3.0,6537.91015625,5.57923076923077
2008-02-17,2.00307692307692,0.656153846153846,23.70769230769231,126.45,-9.59076923076923,3.0,6477.919921875,5.62307692307692
2008-02-24,2.01692307692308,0.653846153846154,23.692307692307693,126.175,-9.35923076923077,3.0,6400.52001953125,5.66692307692308
2008-03-02,2.03076923076923,0.651538461538462,23.67692307692308,125.9,-9.12769230769231,3.0,6415.1201171875,5.71076923076923
2008-03-09,2.04461538461538,0.649230769230769,23.661538461538463,125.68,-8.89615384615385,3.0,6159.93994140625,5.75461538461538
2008-03-16,2.05846153846154,0.646923076923077,23.646153846153847,125.46,-8.66461538461538,3.0,5999.75,5.79846153846154
2008-03-23,2.07230769230769,0.644615384615385,23.630769230769232,125.24,-8.43307692307692,3.0,6158.81982421875,5.84230769230769
2008-03-30,2.08615384615385,0.642307692307692,23.615384615384617,125.02,-8.20153846153846,3.0,6152.81005859375,5.88615384615385
2008-04-06,2.1,0.64,23.6,124.8,-7.97,3.0,6351.9599609375,5.93
2008-04-13,2.03769230769231,0.642307692307692,23.584615384615383,124.475,-7.43846153846154,3.01923076923077,6098.64990234375,6.03923076923077
2008-04-20,1.97538461538462,0.644615384615385,23.56923076923077,124.15,-6.90692307692308,3.03846153846154,6259.509765625,6.14846153846154
2008-04-27,1.91307692307692,0.646923076923077,23.553846153846155,123.825,-6.37538461538462,3.05769230769231,6178.830078125,6.25769230769231
2008-05-04,1.85076923076923,0.649230769230769,23.53846153846154,123.5,-5.84384615384615,3.07692307692308,6474.6201171875,6.36692307692308
2008-05-11,1.78846153846154,0.651538461538462,23.523076923076925,123.2,-5.31230769230769,3.09615384615385,6431.3798828125,6.47615384615385
2008-05-18,1.72615384615385,0.653846153846154,23.50769230769231,122.9,-4.78076923076923,3.11538461538462,6429.22998046875,6.58538461538462
